Airline,Source,Destination,Total_Stops,Price,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Date,Month,Duration_Hours,Duration_Mins,Weekday,day/night
Jet Airways,Kolkata,Banglore,1,10844,8,25,18,15,15,5,9.0,50,3,2.0
IndiGo,Delhi,Cochin,1,6818,5,5,12,10,5,9,7.0,5,4,1.0
Air India,Delhi,Cochin,2,13643,10,55,7,40,27,5,20.0,45,1,2.0
Multiple carriers,Delhi,Cochin,1,6358,7,0,21,0,27,3,14.0,0,3,1.0
Jet Airways,Delhi,Cochin,1,14714,13,0,19,0,6,1,6.0,0,7,3.0
SpiceJet,Delhi,Cochin,1,6460,8,45,13,15,21,4,4.0,30,7,2.0
Jet Airways,Kolkata,Banglore,1,9663,21,10,12,0,5,12,14.0,50,4,5.0
Jet Airways,Kolkata,Banglore,1,13941,6,30,10,5,21,5,3.0,35,2,1.0
Jet Airways,Delhi,Cochin,1,5963,19,45,19,45,27,3,24.0,0,3,4.0
Jet Airways,Delhi,Cochin,2,13014,19,30,12,35,15,6,17.0,5,6,4.0
Jet Airways,Kolkata,Banglore,1,9663,16,30,9,20,5,9,16.0,50,4,4.0
IndiGo,Banglore,Delhi,0,4423,13,0,15,50,4,6,2.0,50,2,3.0
Jet Airways,Delhi,Cochin,2,21219,11,40,19,0,5,6,7.0,20,3,2.0
IndiGo,Delhi,Cochin,1,7503,18,35,1,30,24,5,6.0,55,5,4.0
IndiGo,Kolkata,Banglore,0,4804,21,25,0,5,24,6,2.0,40,1,5.0
Jet Airways,Delhi,Cochin,2,15129,9,40,12,35,5,9,2.0,55,4,2.0
Multiple carriers,Delhi,Cochin,2,6197,7,10,21,20,27,3,14.0,10,3,1.0
SpiceJet,Chennai,Kolkata,0,3597,17,45,20,5,27,5,2.0,20,1,4.0
Multiple carriers,Delhi,Cochin,1,9100,7,30,19,15,27,3,11.0,45,3,1.0
Jet Airways,Mumbai,Hyderabad,0,4050,7,5,8,30,6,1,1.0,25,7,1.0
Multiple carriers,Delhi,Cochin,1,7723,10,0,1,30,6,6,15.0,30,4,2.0
Jet Airways,Delhi,Cochin,2,15129,23,5,19,0,5,9,19.0,55,4,5.0
Jet Airways,Delhi,Cochin,1,12373,8,0,19,0,18,5,11.0,0,6,2.0
IndiGo,Banglore,Delhi,0,4591,23,30,2,20,5,3,2.0,50,2,5.0
SpiceJet,Chennai,Kolkata,0,6300,8,20,10,35,3,9,2.0,15,2,2.0
Air India,Banglore,Delhi,0,5176,17,0,19,45,24,3,2.0,45,7,4.0
Multiple carriers,Delhi,Cochin,1,12717,9,0,19,0,15,6,10.0,0,6,2.0
Air India,Chennai,Kolkata,0,4405,11,40,13,55,18,3,2.0,15,1,2.0
SpiceJet,Delhi,Cochin,1,6749,15,45,22,5,21,4,6.0,20,7,3.0
Jet Airways,Kolkata,Banglore,1,7064,10,20,17,35,5,12,7.0,15,4,2.0
Jet Airways,Delhi,Cochin,1,16289,7,5,12,35,21,5,5.0,30,2,1.0
IndiGo,Chennai,Kolkata,0,6297,11,35,14,0,15,3,2.0,25,5,2.0
Jet Airways,Mumbai,Hyderabad,0,5678,19,35,21,5,5,12,1.0,30,4,4.0
Jet Airways,Kolkata,Banglore,1,14388,20,0,9,20,5,1,13.0,20,6,5.0
Jet Airways,Banglore,Delhi,0,7229,6,0,8,45,18,4,2.0,45,4,1.0
IndiGo,Kolkata,Banglore,1,9806,11,55,16,25,24,3,4.0,30,7,2.0
IndiGo,Delhi,Cochin,1,6195,21,50,3,35,6,6,5.0,45,4,5.0
Jet Airways,Kolkata,Banglore,1,13044,18,55,18,15,6,12,23.0,20,5,4.0
Jet Airways,Delhi,Cochin,2,13882,11,45,4,25,27,6,16.0,40,4,2.0
Jet Airways,Banglore,Delhi,1,8147,5,45,10,45,24,3,5.0,0,7,1.0
Air India,Delhi,Cochin,2,8052,17,15,7,40,4,9,14.0,25,3,4.0
Jet Airways,Kolkata,Banglore,1,14781,6,30,19,50,5,1,13.0,20,6,1.0
Jet Airways,Kolkata,Banglore,1,14151,9,35,22,5,24,5,12.0,30,5,2.0
IndiGo,Kolkata,Banglore,1,6704,18,5,23,30,18,5,5.0,25,6,4.0
Jet Airways,Kolkata,Banglore,1,9663,8,25,12,0,5,1,3.0,35,6,2.0
IndiGo,Kolkata,Banglore,0,4462,15,20,17,55,18,3,2.0,35,1,3.0
Jet Airways,Delhi,Cochin,2,8367,10,45,4,25,21,3,17.0,40,4,2.0
Jet Airways,Delhi,Cochin,2,13376,6,45,4,25,6,9,21.0,40,5,1.0
Jet Airways,Kolkata,Banglore,1,13067,20,25,9,45,21,5,13.0,20,2,5.0
IndiGo,Kolkata,Banglore,0,5224,14,25,16,55,21,5,2.0,30,2,3.0
Multiple carriers,Delhi,Cochin,1,13542,16,0,1,35,21,3,9.0,35,4,4.0
GoAir,Banglore,Delhi,0,3419,7,45,10,40,24,5,2.0,55,5,1.0
Multiple carriers,Delhi,Cochin,2,10444,9,45,21,20,3,6,11.0,35,1,2.0
IndiGo,Kolkata,Banglore,0,4804,9,35,12,10,6,1,2.0,35,7,2.0
Jet Airways,Mumbai,Hyderabad,0,4995,7,5,8,30,21,5,1.0,25,2,1.0
SpiceJet,Delhi,Cochin,1,4957,17,55,22,50,27,4,4.0,55,6,4.0
Jet Airways,Delhi,Cochin,1,15554,20,55,4,25,5,9,7.0,30,4,5.0
Jet Airways,Kolkata,Banglore,1,9663,20,0,12,0,5,1,16.0,0,6,5.0
Jet Airways,Kolkata,Banglore,1,14151,9,35,9,45,18,5,24.0,10,6,2.0
IndiGo,Delhi,Cochin,0,5601,5,35,8,50,6,6,3.0,15,4,1.0
Multiple carriers,Delhi,Cochin,1,7787,6,40,19,15,15,5,12.0,35,3,1.0
Air India,Banglore,Delhi,1,5092,11,50,23,55,21,3,12.0,5,4,2.0
Jet Airways,Kolkata,Banglore,1,10844,21,10,9,20,6,6,12.0,10,4,5.0
Multiple carriers,Delhi,Cochin,2,23017,17,50,1,35,3,9,7.0,45,2,4.0
Air India,Kolkata,Banglore,2,10676,12,0,18,30,5,12,6.0,30,4,3.0
SpiceJet,Kolkata,Banglore,1,10156,11,15,18,30,6,6,7.0,15,4,2.0
Air Asia,Delhi,Cochin,1,8627,16,45,7,10,3,6,14.0,25,1,4.0
Air Asia,Kolkata,Banglore,0,4409,9,45,12,15,21,5,2.0,30,2,2.0
Multiple carriers,Delhi,Cochin,1,9646,9,45,16,10,18,5,6.0,25,6,2.0
Jet Airways,Banglore,Delhi,1,13817,21,25,12,25,3,12,15.0,0,2,5.0
Air India,Delhi,Cochin,2,13538,13,20,7,40,5,9,18.0,20,4,3.0
Air India,Kolkata,Banglore,2,9416,12,0,7,55,5,9,19.0,55,4,3.0
Jet Airways,Banglore,Delhi,0,7229,11,10,14,5,27,4,2.0,55,6,2.0
Air India,Kolkata,Banglore,1,10203,10,0,23,15,5,1,13.0,15,6,2.0
IndiGo,Delhi,Cochin,1,6778,16,10,0,55,21,5,8.0,45,2,4.0
IndiGo,Mumbai,Hyderabad,0,2754,12,0,13,30,15,6,1.0,30,6,3.0
Air India,Kolkata,Banglore,2,10991,5,50,20,25,5,1,14.0,35,6,1.0
Vistara,Banglore,Delhi,0,4668,11,30,14,20,27,5,2.0,50,1,2.0
SpiceJet,Delhi,Cochin,1,5726,8,45,13,15,6,3,4.0,30,3,2.0
Air India,Kolkata,Banglore,2,14960,9,50,23,15,6,12,13.0,25,5,2.0
Air India,Delhi,Cochin,1,7480,20,40,9,25,21,5,12.0,45,2,5.0
Air Asia,Kolkata,Banglore,0,4107,19,55,22,25,21,5,2.0,30,2,4.0
Jet Airways,Kolkata,Banglore,1,11467,9,35,9,45,5,1,24.0,10,6,2.0
IndiGo,Delhi,Cochin,1,5796,2,0,7,25,27,4,5.0,25,6,6.0
Jet Airways,Delhi,Cochin,1,10262,2,15,19,0,6,6,16.0,45,4,6.0
Air India,Delhi,Cochin,3,11543,5,15,7,40,27,6,2.0,25,4,1.0
IndiGo,Delhi,Cochin,1,5298,6,50,12,10,24,4,5.0,20,3,1.0
Air Asia,Delhi,Cochin,1,6451,20,45,7,10,27,4,10.0,25,6,5.0
Air India,Kolkata,Banglore,0,6245,14,15,16,45,6,9,2.0,30,5,3.0
Jet Airways,Mumbai,Hyderabad,0,2071,19,35,21,5,27,3,1.0,30,3,4.0
IndiGo,Kolkata,Banglore,0,4804,9,35,12,20,15,5,2.0,45,3,2.0
Multiple carriers,Delhi,Cochin,1,7005,7,30,21,0,27,6,13.0,30,4,1.0
Jet Airways,Banglore,Delhi,1,12284,5,45,12,25,18,3,6.0,40,1,1.0
Air India,Kolkata,Banglore,1,10203,7,0,20,25,5,9,13.0,25,4,1.0
IndiGo,Delhi,Cochin,1,6938,14,20,22,30,27,5,8.0,10,1,3.0
Multiple carriers,Delhi,Cochin,1,13377,10,0,1,30,6,12,15.0,30,5,2.0
Multiple carriers,Delhi,Cochin,1,9779,9,15,19,15,6,1,10.0,0,7,2.0
Air India,Chennai,Kolkata,0,4667,11,40,13,55,15,5,2.0,15,3,2.0
Jet Airways,Banglore,Delhi,0,4544,19,50,22,50,4,3,3.0,0,1,4.0
Jet Airways,Delhi,Cochin,1,16079,21,50,4,25,27,6,6.0,35,4,5.0
Jet Airways,Kolkata,Banglore,1,7064,16,30,19,50,4,1,3.0,20,5,4.0
Jet Airways,Delhi,Cochin,1,15554,14,0,19,0,18,5,5.0,0,6,3.0
SpiceJet,Chennai,Kolkata,0,3543,9,45,12,0,18,5,2.0,15,6,2.0
Air India,Banglore,Delhi,0,6121,13,20,16,10,18,4,2.0,50,4,3.0
IndiGo,Delhi,Cochin,1,8075,8,25,15,30,27,3,7.0,5,3,2.0
Multiple carriers,Delhi,Cochin,1,13377,11,30,1,30,6,3,14.0,0,3,2.0
Jet Airways,Kolkata,Banglore,1,14571,14,5,19,50,24,5,5.0,45,5,3.0
SpiceJet,Banglore,Delhi,0,3919,5,55,8,35,24,4,2.0,40,3,1.0
Jet Airways,Kolkata,Banglore,1,14231,18,55,4,45,24,3,9.0,50,7,4.0
IndiGo,Mumbai,Hyderabad,0,2754,19,5,20,30,15,3,1.0,25,5,4.0
Air India,Delhi,Cochin,1,8067,17,40,23,0,21,5,5.0,20,2,4.0
Vistara,Kolkata,Banglore,1,8452,7,10,22,40,5,6,15.0,30,3,1.0
Jet Airways,Banglore,Delhi,1,15025,14,5,11,25,3,6,21.0,20,1,3.0
Jet Airways,Banglore,Delhi,1,23017,8,55,16,10,3,1,7.0,15,4,2.0
Jet Airways,Delhi,Cochin,1,15103,13,0,18,50,3,6,5.0,50,1,3.0
Jet Airways,Kolkata,Banglore,1,8586,14,5,4,40,24,5,14.0,35,5,3.0
Jet Airways,Kolkata,Banglore,1,10844,8,25,16,20,6,9,7.0,55,5,2.0
Jet Airways,Delhi,Cochin,1,12898,21,50,4,25,21,5,6.0,35,2,5.0
Jet Airways,Kolkata,Banglore,1,8586,6,30,8,15,5,12,1.0,45,4,1.0
Multiple carriers,Delhi,Cochin,1,11622,8,30,19,0,6,9,10.0,30,5,2.0
Air India,Delhi,Cochin,2,13538,12,20,19,15,5,6,6.0,55,3,3.0
Jet Airways,Delhi,Cochin,2,13014,5,30,4,25,6,1,22.0,55,7,1.0
Jet Airways,Kolkata,Banglore,1,13941,18,55,10,5,5,9,15.0,10,4,4.0
Jet Airways,Kolkata,Banglore,1,14151,9,35,10,55,18,5,1.0,20,6,2.0
Multiple carriers,Delhi,Cochin,1,13542,17,30,1,35,21,3,8.0,5,4,4.0
IndiGo,Delhi,Cochin,1,6558,6,40,22,20,21,3,15.0,40,4,1.0
Air Asia,Kolkata,Banglore,1,5192,7,35,19,25,18,5,11.0,50,6,1.0
Vistara,Banglore,Delhi,0,4878,7,0,9,40,6,1,2.0,40,7,1.0
Jet Airways,Delhi,Cochin,1,12898,15,0,12,35,27,5,21.0,35,1,3.0
Air India,Delhi,Cochin,1,7384,17,40,23,0,6,9,5.0,20,5,4.0
GoAir,Banglore,Delhi,0,3898,7,45,10,40,5,3,2.0,55,2,1.0
Air Asia,Banglore,Delhi,0,3383,23,55,2,45,5,6,2.0,50,3,5.0
IndiGo,Delhi,Cochin,1,6093,6,40,21,0,24,6,14.0,20,1,1.0
Multiple carriers,Delhi,Cochin,1,12192,8,0,19,0,6,12,11.0,0,5,2.0
Multiple carriers,Delhi,Cochin,1,6795,12,50,1,30,6,12,12.0,40,5,3.0
Jet Airways,Banglore,Delhi,1,11455,7,0,7,40,18,3,24.0,40,1,1.0
IndiGo,Chennai,Kolkata,0,3540,15,40,18,25,6,1,2.0,45,7,3.0
Multiple carriers,Delhi,Cochin,1,15898,9,0,19,15,27,5,10.0,15,1,2.0
Multiple carriers,Delhi,Cochin,1,9718,10,0,21,0,6,3,11.0,0,3,2.0
GoAir,Kolkata,Banglore,1,7831,16,40,0,15,15,5,7.0,35,3,4.0
IndiGo,Delhi,Cochin,1,6416,8,30,21,0,6,3,12.0,30,3,2.0
Vistara,Chennai,Kolkata,0,3739,7,5,9,20,27,3,2.0,15,3,1.0
Vistara,Kolkata,Banglore,1,8085,7,10,23,25,5,6,16.0,15,3,1.0
IndiGo,Banglore,Delhi,0,4823,16,55,19,55,5,3,3.0,0,2,4.0
Jet Airways,Delhi,Cochin,2,13376,14,35,12,35,6,9,22.0,0,5,3.0
Vistara,Kolkata,Banglore,1,8452,20,20,10,45,15,5,14.0,25,3,5.0
Jet Airways,Kolkata,Banglore,1,10844,20,0,22,35,6,6,2.0,35,4,5.0
Vistara,Delhi,Cochin,0,4851,6,0,9,10,27,3,3.0,10,3,1.0
Multiple carriers,Delhi,Cochin,1,6795,19,0,1,30,15,6,6.0,30,6,4.0
IndiGo,Banglore,Delhi,0,4823,8,30,11,20,18,5,2.0,50,6,2.0
Jet Airways,Delhi,Cochin,1,10577,20,55,4,25,6,9,7.0,30,5,5.0
Jet Airways,Delhi,Cochin,1,12032,20,50,19,45,27,3,22.0,55,3,5.0
Air Asia,Delhi,Cochin,1,9330,7,55,13,25,6,1,5.0,30,7,1.0
Vistara,Kolkata,Banglore,1,8977,17,0,22,55,4,1,5.0,55,5,4.0
Multiple carriers,Delhi,Cochin,1,7005,12,50,21,0,6,1,8.0,10,7,3.0
Jet Airways,Kolkata,Banglore,1,10844,14,5,20,45,18,5,6.0,40,6,3.0
Multiple carriers,Delhi,Cochin,1,12192,3,50,12,35,24,6,8.0,45,1,6.0
Air India,Banglore,Delhi,0,4441,10,0,12,45,24,3,2.0,45,7,2.0
Multiple carriers,Delhi,Cochin,1,7575,10,35,19,15,5,9,8.0,40,4,2.0
IndiGo,Kolkata,Banglore,0,4804,4,40,7,15,21,6,2.0,35,5,1.0
SpiceJet,Chennai,Kolkata,0,3597,9,45,12,0,6,6,2.0,15,4,2.0
Air India,Kolkata,Banglore,1,10413,17,30,20,25,6,6,2.0,55,4,4.0
Jet Airways,Banglore,Delhi,0,8016,6,0,8,45,6,9,2.0,45,5,1.0
Jet Airways,Kolkata,Banglore,1,10844,20,0,12,0,6,9,16.0,0,5,5.0
Jet Airways,Kolkata,Banglore,1,9663,16,30,9,20,5,12,16.0,50,4,4.0
IndiGo,Delhi,Cochin,1,6069,20,25,1,30,18,5,5.0,5,6,5.0
IndiGo,Delhi,Cochin,1,6442,11,55,22,30,27,5,10.0,35,1,2.0
Multiple carriers,Delhi,Cochin,1,13587,9,0,21,0,6,1,12.0,0,7,2.0
Air India,Mumbai,Hyderabad,0,3100,19,30,20,45,5,9,1.0,15,4,4.0
Jet Airways,Kolkata,Banglore,1,14781,6,30,18,15,21,5,11.0,45,2,1.0
Jet Airways,Delhi,Cochin,1,12898,21,50,19,0,21,5,21.0,10,2,5.0
IndiGo,Kolkata,Banglore,0,4804,14,25,16,55,18,6,2.0,30,2,3.0
SpiceJet,Kolkata,Banglore,0,4174,9,0,11,25,15,4,2.0,25,1,2.0
IndiGo,Banglore,Delhi,0,4591,23,30,2,20,24,5,2.0,50,5,5.0
Jet Airways,Kolkata,Banglore,1,9663,16,30,19,50,5,6,3.0,20,3,4.0
Multiple carriers,Delhi,Cochin,1,8266,8,45,19,15,15,5,10.0,30,3,2.0
IndiGo,Banglore,Delhi,0,4823,7,10,10,5,5,6,2.0,55,3,1.0
Air India,Delhi,Cochin,0,6094,18,5,21,10,21,5,3.0,5,2,4.0
Jet Airways,Kolkata,Banglore,1,14178,21,10,4,40,24,5,7.0,30,5,5.0
Jet Airways,Delhi,Cochin,2,13376,6,45,12,35,6,9,5.0,50,5,1.0
Air India,Mumbai,Hyderabad,0,2575,21,5,22,25,24,3,1.0,20,7,5.0
Vistara,Mumbai,Hyderabad,1,12395,7,30,19,55,3,6,12.0,25,1,1.0
IndiGo,Delhi,Cochin,1,10351,9,10,21,0,27,3,11.0,50,3,2.0
Air Asia,Kolkata,Banglore,1,5192,7,35,23,30,21,5,15.0,55,2,1.0
Multiple carriers,Delhi,Cochin,1,7670,12,50,21,0,15,5,8.0,10,3,3.0
Air India,Banglore,Delhi,2,11161,11,5,22,10,18,3,34.5,5,1,2.0
Jet Airways,Kolkata,Banglore,1,14151,20,25,18,0,24,5,21.0,35,5,5.0
IndiGo,Kolkata,Banglore,1,4775,15,15,20,5,5,6,4.0,50,3,3.0
Air India,Delhi,Cochin,2,12865,13,5,9,25,3,6,20.0,20,1,3.0
Air India,Mumbai,Hyderabad,0,5462,19,30,20,45,3,6,1.0,15,1,4.0
SpiceJet,Delhi,Cochin,1,8382,6,10,11,20,3,9,5.0,10,2,1.0
Jet Airways,Banglore,Delhi,0,4544,17,45,20,45,24,4,3.0,0,3,4.0
Jet Airways,Banglore,Delhi,0,4544,15,15,18,10,4,1,2.0,55,5,3.0
Jet Airways,Kolkata,Banglore,1,14781,16,30,23,35,18,5,7.0,5,6,4.0
SpiceJet,Delhi,Cochin,1,5158,8,45,13,15,27,5,4.0,30,1,2.0
Jet Airways,Mumbai,Hyderabad,0,5678,15,50,17,20,21,3,1.0,30,4,3.0
Jet Airways,Delhi,Cochin,2,18804,11,40,19,0,6,9,7.0,20,5,2.0
IndiGo,Mumbai,Hyderabad,0,4049,9,10,10,40,6,3,1.0,30,3,2.0
IndiGo,Kolkata,Banglore,0,6565,10,10,12,55,24,3,2.0,45,7,2.0
Jet Airways,Delhi,Cochin,1,12373,18,15,12,35,18,5,18.0,20,6,4.0
Air India,Banglore,Delhi,0,4441,17,0,19,45,18,3,2.0,45,1,4.0
SpiceJet,Chennai,Kolkata,0,3597,17,45,20,5,18,5,2.0,20,6,4.0
Jet Airways,Mumbai,Hyderabad,0,5678,19,35,21,5,18,6,1.0,30,2,4.0
Air India,Delhi,Cochin,2,10660,9,45,9,25,3,9,23.0,40,2,2.0
Jet Airways,Banglore,Delhi,0,4544,6,0,8,45,21,4,2.0,45,7,1.0
IndiGo,Banglore,Delhi,0,4823,8,30,11,20,24,5,2.0,50,5,2.0
Air India,Kolkata,Banglore,2,14214,14,30,23,15,5,9,8.0,45,4,3.0
Jet Airways,Kolkata,Banglore,1,14781,8,25,16,20,5,1,7.0,55,6,2.0
Multiple carriers,Delhi,Cochin,1,23017,19,0,1,35,3,1,6.0,35,4,4.0
Jet Airways,Delhi,Cochin,1,14053,19,15,18,50,3,9,23.0,35,2,4.0
Jet Airways,Delhi,Cochin,1,10262,21,50,19,0,27,6,21.0,10,4,5.0
IndiGo,Banglore,Delhi,0,4823,20,0,22,50,21,6,2.0,50,5,5.0
Air India,Delhi,Cochin,1,8361,17,40,8,15,18,5,14.0,35,6,4.0
Air India,Delhi,Cochin,2,10493,5,55,19,15,6,9,34.5,20,5,1.0
Multiple carriers,Delhi,Cochin,1,17057,7,5,13,20,3,3,6.0,15,7,1.0
Air India,Delhi,Cochin,2,12392,17,15,19,15,18,5,2.0,0,6,4.0
IndiGo,Delhi,Cochin,1,5883,11,25,1,30,6,12,14.0,5,5,2.0
Jet Airways,Delhi,Cochin,1,12898,11,30,19,0,21,5,7.0,30,2,2.0
Jet Airways,Delhi,Cochin,1,16079,2,15,19,0,21,5,16.0,45,2,6.0
Multiple carriers,Delhi,Cochin,1,10678,4,55,12,35,6,12,7.0,40,5,1.0
Air India,Banglore,Delhi,2,20999,6,45,11,10,3,1,4.0,25,4,1.0
IndiGo,Banglore,Delhi,1,6575,19,35,0,35,21,3,5.0,0,4,4.0
Jet Airways,Delhi,Cochin,2,15129,19,30,4,25,21,5,8.0,55,2,4.0
Jet Airways,Kolkata,Banglore,1,10844,18,55,18,15,6,6,23.0,20,4,4.0
Air India,Banglore,Delhi,1,11654,9,30,23,45,3,3,14.0,15,7,2.0
IndiGo,Kolkata,Banglore,1,5069,8,10,13,0,4,1,4.0,50,5,2.0
Air India,Banglore,Delhi,0,5176,6,10,8,55,4,1,2.0,45,5,1.0
Jet Airways,Delhi,Cochin,2,13292,5,30,4,25,6,9,22.0,55,5,1.0
IndiGo,Delhi,Cochin,1,6386,2,0,7,45,6,6,5.0,45,4,6.0
Jet Airways,Delhi,Cochin,2,15129,13,25,19,0,21,5,5.0,35,2,3.0
Air India,Kolkata,Banglore,0,4435,20,45,23,20,3,6,2.0,35,1,5.0
IndiGo,Banglore,Delhi,0,4591,23,30,2,20,18,5,2.0,50,6,5.0
Jet Airways,Banglore,Delhi,1,7832,5,45,23,0,21,3,17.0,15,4,1.0
IndiGo,Kolkata,Banglore,0,4174,4,40,7,15,4,12,2.0,35,3,1.0
Multiple carriers,Delhi,Cochin,1,6148,7,0,15,30,27,3,8.0,30,3,1.0
Multiple carriers,Delhi,Cochin,1,9149,9,15,19,15,27,5,10.0,0,1,2.0
Multiple carriers,Delhi,Cochin,2,6128,13,5,21,20,27,3,8.0,15,3,3.0
IndiGo,Delhi,Cochin,1,6412,16,10,22,20,27,3,6.0,10,3,4.0
Multiple carriers,Delhi,Cochin,1,8073,8,0,21,0,18,5,13.0,0,6,2.0
Jet Airways,Delhi,Cochin,0,4256,11,0,14,15,24,6,3.0,15,1,2.0
Air India,Kolkata,Banglore,2,14634,10,0,5,25,5,12,19.0,25,4,2.0
Multiple carriers,Delhi,Cochin,1,14067,13,0,21,0,21,5,8.0,0,2,3.0
IndiGo,Kolkata,Banglore,0,4804,15,30,18,5,5,6,2.0,35,3,3.0
SpiceJet,Kolkata,Banglore,0,4911,17,10,19,40,21,4,2.0,30,7,4.0
IndiGo,Delhi,Cochin,1,6412,16,10,22,30,6,9,6.0,20,5,4.0
SpiceJet,Chennai,Kolkata,0,3543,8,20,10,35,15,6,2.0,15,6,2.0
IndiGo,Chennai,Kolkata,0,3858,11,35,14,0,6,6,2.0,25,4,2.0
Air India,Kolkata,Banglore,2,9941,12,0,7,55,15,5,19.0,55,3,3.0
Jet Airways,Banglore,Delhi,0,7229,8,20,11,20,4,9,3.0,0,3,2.0
GoAir,Banglore,Delhi,1,8352,15,45,20,15,3,3,4.0,30,7,3.0
Jet Airways,Kolkata,Banglore,1,14151,9,35,22,5,5,12,12.0,30,4,2.0
Multiple carriers,Delhi,Cochin,1,6795,17,45,1,30,6,6,7.0,45,4,4.0
IndiGo,Kolkata,Banglore,0,4804,20,20,22,55,5,3,2.0,35,2,5.0
Air India,Delhi,Cochin,1,6587,5,15,6,50,6,6,1.0,35,4,1.0
GoAir,Delhi,Cochin,1,4106,7,25,13,35,4,3,6.0,10,1,1.0
Air India,Kolkata,Banglore,0,5510,14,15,16,45,18,4,2.0,30,4,3.0
Jet Airways,Delhi,Cochin,2,15129,9,40,19,0,5,9,9.0,20,4,2.0
Jet Airways,Delhi,Cochin,2,13029,9,40,4,25,5,9,18.0,45,4,2.0
IndiGo,Delhi,Cochin,1,6582,7,15,12,30,15,6,5.0,15,6,1.0
Multiple carriers,Delhi,Cochin,1,5797,17,45,1,30,27,6,7.0,45,4,4.0
Jet Airways,Kolkata,Banglore,1,12692,20,25,10,55,6,12,14.0,30,5,5.0
SpiceJet,Chennai,Kolkata,0,3332,8,20,10,35,27,3,2.0,15,3,2.0
Air India,Kolkata,Banglore,2,10151,12,0,7,55,6,9,19.0,55,5,3.0
IndiGo,Delhi,Cochin,1,5046,2,0,7,25,4,6,5.0,25,2,6.0
Air India,Delhi,Cochin,1,8907,6,10,23,0,15,6,16.0,50,6,1.0
Air India,Banglore,Delhi,0,5228,21,5,23,55,5,6,2.0,50,3,5.0
IndiGo,Delhi,Cochin,1,13753,5,35,10,10,3,3,4.0,35,7,1.0
Jet Airways,Banglore,Delhi,1,11087,8,55,21,20,3,9,12.0,25,2,2.0
Jet Airways,Kolkata,Banglore,1,14781,14,5,23,35,18,5,9.0,30,6,3.0
IndiGo,Kolkata,Banglore,0,5224,11,30,14,5,5,6,2.0,35,3,2.0
Jet Airways,Banglore,Delhi,0,3702,15,15,18,10,5,6,2.0,55,3,3.0
IndiGo,Mumbai,Hyderabad,0,2754,19,5,20,30,18,3,1.0,25,1,4.0
Air Asia,Banglore,Delhi,0,3383,11,10,13,55,24,5,2.0,45,5,2.0
Air India,Banglore,Delhi,0,5228,13,20,16,10,15,4,2.0,50,1,3.0
IndiGo,Delhi,Cochin,1,5054,20,25,1,30,27,5,5.0,5,1,5.0
Jet Airways,Banglore,Delhi,1,13555,8,55,19,10,18,3,10.0,15,1,2.0
Multiple carriers,Delhi,Cochin,1,7408,17,0,1,30,6,1,8.0,30,7,4.0
IndiGo,Kolkata,Banglore,0,5224,14,25,16,55,24,5,2.0,30,5,3.0
IndiGo,Banglore,Delhi,1,9694,12,10,17,5,3,1,4.0,55,4,3.0
IndiGo,Delhi,Cochin,1,7318,17,10,1,35,21,3,8.0,25,4,4.0
IndiGo,Delhi,Cochin,1,5054,7,35,12,10,21,5,4.0,35,2,1.0
Jet Airways,Banglore,Delhi,0,4030,18,55,22,0,5,1,3.0,5,6,4.0
Jet Airways,Banglore,Delhi,1,16736,8,0,18,25,3,6,10.0,25,1,2.0
Air India,Mumbai,Hyderabad,0,2050,19,30,20,45,18,3,1.0,15,1,4.0
Air India,Mumbai,Hyderabad,2,9977,1,35,14,50,3,12,13.0,15,2,6.0
Jet Airways,Delhi,Cochin,2,10368,5,30,4,25,6,6,22.0,55,4,1.0
IndiGo,Delhi,Cochin,1,6755,7,45,13,40,3,9,5.0,55,2,1.0
Jet Airways,Banglore,Delhi,0,3502,15,15,18,10,15,5,2.0,55,3,3.0
Air India,Banglore,Delhi,0,6961,10,0,12,45,24,6,2.0,45,1,2.0
Jet Airways,Banglore,Delhi,0,4544,15,50,18,45,4,9,2.0,55,3,3.0
SpiceJet,Kolkata,Banglore,0,3841,14,55,17,25,18,5,2.0,30,6,3.0
Jet Airways,Mumbai,Hyderabad,2,23017,14,20,16,50,3,6,2.0,30,1,3.0
Vistara,Kolkata,Banglore,1,9502,7,10,9,5,24,5,1.0,55,5,1.0
Air India,Mumbai,Hyderabad,0,3100,6,20,7,40,4,1,1.0,20,5,1.0
SpiceJet,Banglore,Delhi,0,4319,5,55,8,35,15,4,2.0,40,1,1.0
IndiGo,Mumbai,Hyderabad,0,2227,20,5,21,40,5,1,1.0,35,6,5.0
SpiceJet,Kolkata,Banglore,0,5831,22,20,0,40,24,3,2.0,20,7,5.0
IndiGo,Kolkata,Banglore,0,4804,21,25,0,5,6,9,2.0,40,5,5.0
IndiGo,Delhi,Cochin,1,5458,7,35,12,10,6,6,4.0,35,4,1.0
Jet Airways,Banglore,Delhi,0,7229,18,55,22,0,6,9,3.0,5,5,4.0
Jet Airways,Kolkata,Banglore,1,14571,18,55,10,5,6,6,15.0,10,4,4.0
SpiceJet,Banglore,Delhi,0,3919,21,10,0,5,6,9,2.0,55,5,5.0
Multiple carriers,Delhi,Cochin,1,6916,7,5,16,10,3,9,9.0,5,2,1.0
